frame,x,y,w,h,cx,cy
49,48,176,22,14,59,183
49,455,174,21,14,465,181
49,170,174,22,16,181,182
49,528,170,22,16,539,178
49,107,118,22,13,118,124
49,244,102,16,16,252,110
50,244,246,18,17,253,254
50,96,176,24,16,108,184
50,48,176,22,14,59,183
50,455,174,21,14,465,181
50,170,174,22,16,181,182
50,528,170,22,16,539,178
50,107,118,22,13,118,124
50,244,102,16,16,252,110
51,244,246,18,17,253,254
51,96,176,24,16,108,184
51,48,176,22,14,59,183
51,455,174,21,14,465,181
51,170,174,22,16,181,182
51,528,170,22,16,539,178
51,107,118,22,13,118,124
51,244,102,16,16,252,110
52,244,246,18,17,253,254
52,96,176,24,16,108,184
52,48,176,22,14,59,183
52,455,174,21,14,465,181
52,170,174,22,16,181,182
52,528,170,22,16,539,178
52,107,118,22,13,118,124
52,244,102,16,16,252,110
53,244,246,18,17,253,254
53,96,176,24,16,108,184
53,48,176,22,14,59,183
53,455,174,21,14,465,181
53,170,174,22,16,181,182
53,528,170,22,16,539,178
53,107,118,22,13,118,124
53,244,102,16,16,252,110
54,244,246,18,17,253,254
54,96,176,24,16,108,184
54,48,176,22,14,59,183
54,455,174,21,14,465,181
54,170,174,22,16,181,182
54,528,170,22,16,539,178
54,107,118,22,13,118,124
54,244,102,16,16,252,110
55,244,246,18,17,253,254
55,96,176,24,16,108,184
55,48,176,22,14,59,183
55,455,174,21,14,465,181
55,170,174,22,16,181,182
55,528,170,22,16,539,178
55,107,118,22,13,118,124
55,244,102,16,16,252,110
56,244,246,18,17,253,254
56,96,176,24,16,108,184
56,48,176,22,14,59,183
56,455,174,21,14,465,181
56,170,174,22,16,181,182
56,528,170,22,16,539,178
56,107,118,22,13,118,124
56,244,102,16,16,252,110
57,244,246,18,17,253,254
57,96,176,24,16,108,184
57,48,176,22,14,59,183
57,455,174,21,14,465,181
57,170,174,22,16,181,182
57,528,170,22,16,539,178
57,107,118,22,13,118,124
57,244,102,16,16,252,110
58,244,246,18,17,253,254
58,96,176,24,16,108,184
58,48,176,22,14,59,183
58,455,174,21,14,465,181
58,170,174,22,16,181,182
58,528,170,22,16,539,178
58,107,118,22,13,118,124
58,244,102,16,16,252,110
59,244,246,18,17,253,254
59,96,176,24,16,108,184
59,48,176,22,14,59,183
59,455,174,21,14,465,181
59,170,174,22,16,181,182
59,528,170,22,16,539,178
59,107,118,22,13,118,124
59,244,102,16,16,252,110
60,244,246,18,17,253,254
60,96,176,24,16,108,184
60,48,176,22,14,59,183
60,455,174,21,14,465,181
60,170,174,22,16,181,182
60,528,170,22,16,539,178
60,107,118,22,13,118,124
60,244,102,16,16,252,110
61,244,246,18,17,253,254
61,96,176,24,16,108,184
61,48,176,22,14,59,183
61,455,174,21,14,465,181
61,170,174,22,16,181,182
61,528,170,22,16,539,178
61,107,118,22,13,118,124
61,244,102,16,16,252,110
62,244,246,18,17,253,254
62,96,176,24,16,108,184
62,48,176,22,14,59,183
62,455,174,21,14,465,181
62,170,174,22,16,181,182
62,528,170,22,16,539,178
62,107,118,22,13,118,124
