frame,track_id,x,y,w,h,cx,cy
37,1,244,246,18,17,253,254
37,2,96,176,24,16,108,184
37,3,48,176,22,14,59,183
37,4,454,174,21,14,465,181
37,5,170,174,22,16,181,182
37,6,528,170,22,16,539,178
37,7,107,118,22,13,118,124
37,8,244,102,16,16,252,110
37,9,383,248,14,14,390,255
38,1,244,246,18,17,253,254
38,2,96,176,24,16,108,184
38,3,48,176,22,14,59,183
38,4,454,174,21,14,465,181
38,5,170,174,22,16,181,182
38,6,528,170,22,16,539,178
38,7,107,118,22,13,118,124
38,8,244,102,16,16,252,110
38,9,383,248,14,14,390,255
39,1,244,246,18,17,253,254
39,2,96,176,24,16,108,184
39,3,48,176,22,14,59,183
39,4,454,174,21,14,465,181
39,5,170,174,22,16,181,182
39,6,528,170,22,16,539,178
39,7,107,118,22,13,118,124
39,8,244,102,16,16,252,110
39,9,383,248,14,14,390,255
40,1,244,246,18,17,253,254
40,2,96,176,24,16,108,184
40,3,48,176,22,14,59,183
40,4,454,174,21,14,465,181
40,5,170,174,22,16,181,182
40,6,528,170,22,16,539,178
40,7,107,118,22,13,118,124
40,8,244,102,16,16,252,110
40,9,383,248,14,14,390,255
41,1,244,246,18,17,253,254
41,2,96,176,24,16,108,184
41,3,48,176,22,14,59,183
41,4,454,174,21,14,465,181
41,5,170,174,22,16,181,182
41,6,528,170,22,16,539,178
41,7,107,118,22,13,118,124
41,8,244,102,16,16,252,110
41,9,383,248,14,14,390,255
42,1,244,246,18,17,253,254
42,2,96,176,24,16,108,184
42,3,48,176,22,14,59,183
42,4,454,174,21,14,465,181
42,5,170,174,22,16,181,182
42,6,528,170,22,16,539,178
42,7,107,118,22,13,118,124
42,8,244,102,16,16,252,110
42,9,383,248,14,14,390,255
43,1,244,246,18,17,253,254
43,2,96,176,24,16,108,184
43,3,48,176,22,14,59,183
43,4,454,174,21,14,465,181
43,5,170,174,22,16,181,182
43,6,528,170,22,16,539,178
43,7,107,118,22,13,118,124
43,8,244,102,16,16,252,110
44,1,244,246,18,17,253,254
44,2,96,176,24,16,108,184
44,3,48,176,22,14,59,183
44,4,454,174,21,14,465,181
44,5,170,174,22,16,181,182
44,6,528,170,22,16,539,178
44,7,107,118,22,13,118,124
44,8,244,102,16,16,252,110
45,1,244,246,18,17,253,254
45,2,96,176,24,16,108,184
45,3,48,176,22,14,59,183
45,4,454,174,21,14,465,181
45,5,170,174,22,16,181,182
45,6,528,170,22,16,539,178
45,7,107,118,22,13,118,124
45,8,244,102,16,16,252,110
46,1,244,246,18,17,253,254
46,2,96,176,24,16,108,184
46,3,48,176,22,14,59,183
46,4,454,174,21,14,465,181
46,5,170,174,22,16,181,182
46,6,528,170,22,16,539,178
46,7,107,118,22,13,118,124
46,8,244,102,16,16,252,110
47,1,244,246,18,17,253,254
47,2,96,176,24,16,108,184
47,3,48,176,22,14,59,183
47,4,454,174,21,14,465,181
47,5,170,174,22,16,181,182
47,6,528,170,22,16,539,178
47,7,107,118,22,13,118,124
47,8,244,102,16,16,252,110
48,1,244,246,18,17,253,254
48,2,96,176,24,16,108,184
48,3,48,176,22,14,59,183
48,4,454,174,21,14,465,181
48,5,170,174,22,16,181,182
48,6,528,170,22,16,539,178
48,7,107,118,22,13,118,124
48,8,244,102,16,16,252,110
49,1,244,246,18,17,253,254
49,2,96,176,24,16,108,184
49,3,48,176,22,14,59,183
49,4,454,174,21,14,465,181
49,5,170,174,22,16,181,182
49,6,528,170,22,16,539,178
49,7,107,118,22,13,118,124
49,8,244,102,16,16,252,110
50,1,244,246,18,17,253,254
50,2,96,176,24,16,108,184
50,3,48,176,22,14,59,183
50,4,454,174,21,14,465,181
50,5,170,174,22,16,181,182
50,6,528,170,22,16,539,178
50,7,107,118,22,13,118,124
50,8,244,102,16,16,252,110
51,1,244,246,18,17,253,254
51,2,96,176,24,16,108,184
51,3,48,176,22,14,59,183
51,4,454,174,21,14,465,181
51,5,170,174,22,16,181,182
51,6,528,170,22,16,539,178
51,7,107,118,22,13,118,124
51,8,244,102,16,16,252,110
52,1,244,246,18,17,253,254
52,2,96,176,24,16,108,184
52,3,48,176,22,14,59,183
52,4,454,174,21,14,465,181
52,5,170,174,22,16,181,182
52,6,528,170,22,16,539,178
52,7,107,118,22,13,118,124
52,8,244,102,16,16,252,110
53,1,244,246,18,17,253,254
53,2,96,176,24,16,108,184
53,3,48,176,22,14,59,183
53,4,454,174,21,14,465,181
53,5,170,174,22,16,181,182
53,6,528,170,22,16,539,178
53,7,107,118,22,13,118,124
53,8,244,102,16,16,252,110
54,1,244,246,18,17,253,254
54,2,96,176,24,16,108,184
54,3,48,176,22,14,59,183
54,4,454,174,21,14,465,181
54,5,170,174,22,16,181,182
54,6,528,170,22,16,539,178
54,7,107,118,22,13,118,124
54,8,244,102,16,16,252,110
55,1,244,246,18,17,253,254
55,2,96,176,24,16,108,184
55,3,48,176,22,14,59,183
55,4,454,174,21,14,465,181
55,5,170,174,22,16,181,182
55,6,528,170,22,16,539,178
55,7,107,118,22,13,118,124
55,8,244,102,16,16,252,110
56,1,244,246,18,17,253,254
56,2,96,176,24,16,108,184
56,3,48,176,22,14,59,183
56,4,454,174,21,14,465,181
56,5,170,174,22,16,181,182
56,6,528,170,22,16,539,178
56,7,107,118,22,13,118,124
56,8,244,102,16,16,252,110
57,1,244,246,18,17,253,254
57,2,96,176,24,16,108,184
57,3,48,176,22,14,59,183
57,4,454,174,21,14,465,181
57,5,170,174,22,16,181,182
57,6,528,170,22,16,539,178
57,7,107,118,22,13,118,124
57,8,244,102,16,16,252,110
58,1,244,246,18,17,253,254
58,2,96,176,24,16,108,184
58,3,48,176,22,14,59,183
58,4,454,174,21,14,465,181
58,5,170,174,22,16,181,182
58,6,528,170,22,16,539,178
58,7,107,118,22,13,118,124
58,8,244,102,16,16,252,110
59,1,244,246,18,17,253,254
59,2,96,176,24,16,108,184
59,3,48,176,22,14,59,183
59,4,454,174,21,14,465,181
59,5,170,174,22,16,181,182
59,6,528,170,22,16,539,178
59,7,107,118,22,13,118,124
59,8,244,102,16,16,252,110
60,1,244,246,18,17,253,254
60,2,96,176,24,16,108,184
60,3,48,176,22,14,59,183
60,4,454,174,21,14,465,181
60,5,170,174,22,16,181,182
60,6,528,170,22,16,539,178
60,7,107,118,22,13,118,124
60,8,244,102,16,16,252,110
61,1,244,246,18,17,253,254
61,2,96,176,24,16,108,184
61,3,48,176,22,14,59,183
61,4,454,174,21,14,465,181
61,5,170,174,22,16,181,182
61,6,528,170,22,16,539,178
61,7,107,118,22,13,118,124
61,8,244,102,16,16,252,110
62,1,244,246,18,17,253,254
62,2,96,176,24,16,108,184
62,3,48,176,22,14,59,183
62,4,454,174,21,14,465,181
62,5,170,174,22,16,181,182
62,6,528,170,22,16,539,178
62,7,107,118,22,13,118,124
62,8,244,102,16,16,252,110
63,1,244,246,18,17,253,254
63,2,96,176,24,16,108,184
63,3,48,176,22,14,59,183
63,4,454,174,21,14,465,181
63,5,170,174,22,16,181,182
63,6,528,170,22,16,539,178
63,7,107,118,22,13,118,124
63,8,244,102,16,16,252,110
64,1,244,246,18,17,253,254
64,2,96,176,24,16,108,184
64,3,48,176,22,14,59,183
64,4,454,174,21,14,465,181
64,5,170,174,22,16,181,182
64,6,528,170,22,16,539,178
64,7,107,118,22,13,118,124
64,8,244,102,16,16,252,110
65,1,244,246,18,17,253,254
65,2,96,176,24,16,108,184
65,3,48,176,22,14,59,183
65,4,454,174,21,14,465,181
65,5,170,174,22,16,181,182
65,6,528,170,22,16,539,178
65,7,107,118,22,13,118,124
65,8,244,102,16,16,252,110
66,1,244,246,18,17,253,254
66,2,96,176,24,16,108,184
66,3,48,176,22,14,59,183
66,4,454,174,21,14,465,181
66,5,170,174,22,16,181,182
66,6,528,170,22,16,539,178
66,7,107,118,22,13,118,124
66,8,244,102,16,16,252,110
67,1,244,246,18,17,253,254
67,2,96,176,24,16,108,184
67,3,48,176,22,14,59,183
67,4,454,174,21,14,465,181
67,5,170,174,22,16,181,182
67,6,528,170,22,16,539,178
67,7,107,118,22,13,118,124
67,8,244,102,16,16,252,110
68,1,244,246,18,17,253,254
68,2,96,176,24,16,108,184
68,3,48,176,22,14,59,183
68,4,454,174,21,14,465,181
68,5,170,174,22,16,181,182
68,6,528,170,22,16,539,178
68,7,107,118,22,13,118,124
68,8,244,102,16,16,252,110
69,1,244,246,18,17,253,254
69,2,96,176,24,16,108,184
69,3,48,176,22,14,59,183
69,4,454,174,21,14,465,181
69,5,170,174,22,16,181,182
69,6,528,170,22,16,539,178
69,7,107,118,22,13,118,124
69,8,244,102,16,16,252,110
70,1,244,246,18,17,253,254
70,2,96,176,24,16,108,184
70,3,48,176,22,14,59,183
70,4,454,174,21,14,465,181
70,5,170,174,22,16,181,182
70,6,528,170,22,16,539,178
70,7,107,118,22,13,118,124
70,8,244,102,16,16,252,110
71,1,244,246,18,17,253,254
71,2,96,176,24,16,108,184
71,3,48,176,22,14,59,183
71,4,454,174,21,14,465,181
71,5,170,174,22,16,181,182
71,6,528,170,22,16,539,178
71,7,107,118,22,13,118,124
71,8,244,102,16,16,252,110
72,1,244,246,18,17,253,254
72,2,96,176,24,16,108,184
72,3,48,176,22,14,59,183
72,4,454,174,21,14,465,181
72,5,170,174,22,16,181,182
72,6,528,170,22,16,539,178
72,7,107,118,22,13,118,124
72,8,244,102,16,16,252,110
73,1,244,246,18,17,253,254
73,2,96,176,24,16,108,184
73,3,48,176,22,14,59,183
73,4,454,174,21,14,465,181
73,5,170,174,22,16,181,182
73,6,528,170,22,16,539,178
73,7,107,118,22,13,118,124
73,8,244,102,16,16,252,110
74,1,244,246,18,17,253,254
74,2,96,176,24,16,108,184
74,3,48,176,22,14,59,183
74,4,454,174,21,14,465,181
74,5,170,174,22,16,181,182
74,6,528,170,22,16,539,178
74,7,107,118,22,13,118,124
74,8,244,102,16,16,252,110
75,1,244,246,18,17,253,254
75,2,96,176,24,16,108,184
75,3,48,176,22,14,59,183
75,4,454,174,21,14,465,181
75,5,170,174,22,16,181,182
75,6,528,170,22,16,539,178
75,7,107,118,22,13,118,124
75,8,244,102,16,16,252,110
76,1,244,246,18,17,253,254
